DATAFLOW,LAST UPDATE,freq,currency,prod_ani,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2002,84.10,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2003,71.73,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2004,71.68,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2005,90.44,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2006,89.19,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2007,93.02,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2008,99.12,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2009,109.09,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2010,111.20,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2011,115.25,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2012,105.47,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2013,128.25,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2014,112.07,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2015,130.97,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2016,114.30,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2017,116.33,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2018,125.20,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2019,149.75,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2020,151.46,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2021,153.26,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,BG,2022,185.99,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2005,242.90,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2006,234.43,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2007,228.74,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2008,137.15,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2009,143.32,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2010,142.50,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2011,144.30,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2012,145.70,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2013,145.20,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2014,145.30,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2015,143.20,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2016,140.73,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2017,139.57,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2018,140.64,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2019,139.88,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2020,153.90,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2021,156.38,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CY,2022,167.53,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2001,129.40,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2002,143.65,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2003,134.50,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2004,148.68,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2005,201.46,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2006,232.87,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2007,226.90,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2008,208.45,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2009,219.41,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2010,217.53,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2011,231.80,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2012,258.46,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2013,230.95,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2014,199.74,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2015,223.62,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2016,173.67,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2017,180.35,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2018,184.66,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2019,179.78,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2020,171.54,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2021,182.68,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,CZ,2022,228.20,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,DE,2000,541.46,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,DE,2001,313.00,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,DE,2002,419.00,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,DK,2000,119.27,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,DK,2001,100.11,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,DK,2002,100.80,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,DK,2003,100.80,
